t_s	C_rate	V_V	Control_mode
443.0443	1.249846154	4.3005	1
444.0443	1.249846154	4.3006	1
445.0444	1.249846154	4.3007	1
446.0445	1.249846154	4.3008	1
447.0445	1.249846154	4.3009	1
448.0446	1.249846154	4.3011	1
449.0446	1.249884615	4.3011	1
450.0447	1.249884615	4.3013	1
451.0437	1.249846154	4.3014	1
452.0438	1.249923077	4.3015	1
453.0439	1.249846154	4.3016	1
454.0439	1.249923077	4.3017	1
455.044	1.249884615	4.3018	1
456.044	1.249846154	4.3019	1
457.0441	1.249884615	4.302	1
458.0441	1.249846154	4.302	1
459.0442	1.249884615	4.3023	1
460.0443	1.249846154	4.3022	1
461.0443	1.249884615	4.3024	1
462.0444	1.249884615	4.3025	1
463.0444	1.249846154	4.3025	1
464.0445	1.249884615	4.3027	1
465.0445	1.249846154	4.3027	1
466.0446	1.249846154	4.3029	1
467.0447	1.249846154	4.3028	1
468.0437	1.249884615	4.303	1
469.0438	1.249884615	4.303	1
470.0438	1.249846154	4.3031	1
471.0439	1.249846154	4.3033	1
472.0439	1.249846154	4.3033	1
473.044	1.249884615	4.3034	1
474.0441	1.249846154	4.3036	1
475.0441	1.249846154	4.3036	1
476.0442	1.249846154	4.3037	1
477.0442	1.249846154	4.3038	1
478.0443	1.249884615	4.304	1
479.0443	1.249846154	4.3039	1
480.0444	1.249846154	4.3041	1
481.0445	1.249846154	4.3042	1
482.0445	1.249846154	4.3044	1
483.0446	1.249846154	4.3044	1
484.0446	1.249846154	4.3044	1
485.0437	1.249846154	4.3045	1
486.0437	1.249846154	4.3047	1
487.0438	1.249846154	4.3048	1
488.0439	1.249846154	4.3048	1
489.0439	1.249846154	4.3049	1
490.044	1.249846154	4.305	1
491.044	1.249846154	4.3051	1
492.0441	1.249846154	4.3053	1
493.0441	1.249846154	4.3052	1
494.0442	1.249846154	4.3054	1
495.0443	1.249846154	4.3055	1
496.0443	1.249846154	4.3056	1
497.0444	1.249846154	4.3057	1
498.0444	1.249846154	4.3058	1
499.0445	1.249846154	4.3058	1
500.0445	1.249807692	4.3059	1
501.0446	1.249846154	4.3061	1
502.0447	1.249846154	4.3062	1
503.0437	1.249846154	4.3063	1
504.0438	1.249846154	4.3063	1
505.0438	1.249846154	4.3064	1
506.0439	1.249846154	4.3066	1
507.0439	1.249846154	4.3066	1
508.044	1.249846154	4.3067	1
509.0441	1.249846154	4.3067	1
510.0441	1.249846154	4.3068	1
511.0442	1.249846154	4.3069	1
512.0442	1.249846154	4.307	1
513.0443	1.249846154	4.3071	1
514.0443	1.249807692	4.3071	1
515.0444	1.249807692	4.3072	1
516.0445	1.249807692	4.3072	1
517.0445	1.249846154	4.3075	1
518.0446	1.249807692	4.3074	1
519.0446	1.249846154	4.3075	1
520.0437	1.249846154	4.3077	1
521.0437	1.249807692	4.3077	1
522.0438	1.249846154	4.3079	1
523.0439	1.249807692	4.3079	1
524.0439	1.249807692	4.3081	1
525.044	1.249807692	4.308	1
526.044	1.249846154	4.3082	1
527.0441	1.249846154	4.3083	1
528.0441	1.249807692	4.3084	1
529.0442	1.249846154	4.3085	1
530.0443	1.249807692	4.3086	1
531.0443	1.249846154	4.3087	1
532.0444	1.249807692	4.3087	1
533.0444	1.249846154	4.3089	1
534.0445	1.249846154	4.309	1
535.0445	1.249807692	4.309	1
536.0446	1.249846154	4.3092	1
537.0447	1.249807692	4.3092	1
538.0437	1.249846154	4.3094	1
539.0438	1.249807692	4.3094	1
540.0438	1.249846154	4.3096	1
541.0439	1.249846154	4.3096	1
542.0439	1.249807692	4.3097	1
543.044	1.249846154	4.3098	1
544.0441	1.249807692	4.3098	1
545.0441	1.249846154	4.3101	1
546.0442	1.249807692	4.31	1
547.0442	1.249846154	4.3102	1
548.0443	1.249807692	4.3102	1
549.0443	1.249807692	4.3103	1
550.0444	1.249846154	4.3105	1
551.0445	1.249807692	4.3104	1
552.0445	1.249807692	4.3107	1
553.0446	1.249807692	4.3107	1
554.0446	1.249846154	4.3108	1
555.0437	1.249807692	4.311	1
556.0437	1.249807692	4.3109	1
557.0438	1.249807692	4.3111	1
558.0439	1.249807692	4.3111	1
559.0439	1.249807692	4.3113	1
560.044	1.249807692	4.3113	1
561.044	1.249846154	4.3115	1
562.0441	1.249807692	4.3116	1
563.0441	1.249807692	4.3116	1
564.0442	1.249846154	4.3118	1
565.0443	1.249807692	4.3118	1
566.0443	1.249807692	4.3119	1
567.0444	1.249807692	4.312	1
568.0444	1.249807692	4.3122	1
569.0445	1.249769231	4.3122	1
570.0445	1.249807692	4.3123	1
571.0446	1.249846154	4.3124	1
572.0447	1.249807692	4.3124	1
573.0437	1.249846154	4.3126	1
574.0438	1.249807692	4.3127	1
575.0438	1.249807692	4.3128	1
576.0439	1.249807692	4.3128	1
577.0439	1.249846154	4.313	1
578.044	1.249846154	4.3132	1
579.0441	1.249807692	4.3132	1
580.0441	1.249846154	4.3133	1
581.0442	1.249807692	4.3133	1
582.0442	1.249846154	4.3135	1
583.0443	1.249807692	4.3136	1
584.0443	1.249846154	4.3136	1
585.0444	1.249846154	4.3138	1
586.0445	1.249846154	4.3139	1
587.0445	1.249846154	4.314	1
588.0446	1.249807692	4.314	1
589.0446	1.249846154	4.3141	1
590.0437	1.249807692	4.3142	1
591.0437	1.249846154	4.3144	1
592.0438	1.249846154	4.3144	1
593.0439	1.249846154	4.3146	1
594.0439	1.249846154	4.3148	1
595.044	1.249846154	4.3147	1
596.044	1.249846154	4.3149	1
597.0441	1.249846154	4.3149	1
598.0441	1.249846154	4.3151	1
599.0442	1.249846154	4.3151	1
600.0443	1.249846154	4.3152	1
601.0443	1.249846154	4.3154	1
602.0444	1.249846154	4.3154	1
603.0444	1.249846154	4.3155	1
604.0445	1.249846154	4.3156	1
605.0445	1.249846154	4.3157	1
606.0446	1.249846154	4.3159	1
607.0447	1.249846154	4.3158	1
608.0437	1.249846154	4.3161	1
609.0438	1.249807692	4.3162	1
610.0438	1.249846154	4.3163	1
611.0439	1.249846154	4.3163	1
612.0439	1.249846154	4.3164	1
613.044	1.249846154	4.3166	1
614.0441	1.249807692	4.3166	1
615.0441	1.249846154	4.3167	1
616.0442	1.249807692	4.3168	1
617.0442	1.249846154	4.317	1
618.0443	1.249807692	4.317	1
619.0444	1.249846154	4.3172	1
620.0444	1.249846154	4.3172	1
621.0445	1.249846154	4.3173	1
622.0445	1.249846154	4.3174	1
623.0446	1.249807692	4.3174	1
624.0446	1.249846154	4.3176	1
625.0437	1.249807692	4.3176	1
626.0438	1.249846154	4.3178	1
627.0438	1.249807692	4.3179	1
628.0439	1.249807692	4.3179	1
629.0439	1.249846154	4.3181	1
630.044	1.249807692	4.3181	1
631.044	1.249846154	4.3184	1
632.0441	1.249807692	4.3183	1
633.0442	1.249846154	4.3185	1
634.0442	1.249807692	4.3185	1
635.0443	1.249807692	4.3186	1
636.0443	1.249846154	4.3188	1
637.0444	1.249807692	4.3188	1
638.0444	1.249846154	4.3189	1
639.0445	1.249807692	4.319	1
640.0446	1.249846154	4.3192	1
641.0446	1.249846154	4.3191	1
642.0447	1.249846154	4.3192	1
643.0437	1.249846154	4.3194	1
644.0438	1.249807692	4.3194	1
645.0438	1.249846154	4.3195	1
646.0439	1.249807692	4.3196	1
647.044	1.249846154	4.3197	1
648.044	1.249807692	4.3197	1
649.0441	1.249807692	4.32	1
650.0441	1.249846154	4.3201	1
651.0442	1.249846154	4.3201	1
652.0442	1.249846154	4.3202	1
653.0443	1.249807692	4.3203	1
654.0444	1.249846154	4.3205	1
655.0444	1.249807692	4.3205	1
656.0445	1.249846154	4.3206	1
657.0445	1.249807692	4.3207	1
658.0446	1.249769231	4.3208	1
659.0446	1.249807692	4.321	1
660.0437	1.249769231	4.3209	1
661.0438	1.249807692	4.3211	1
662.0438	1.249769231	4.3211	1
663.0439	1.249807692	4.3213	1
664.0439	1.249807692	4.3214	1
665.044	1.249769231	4.3214	1
666.044	1.249807692	4.3217	1
667.0441	1.249769231	4.3216	1
668.0442	1.249807692	4.3218	1
669.0442	1.249769231	4.3219	1
670.0453	1.249807692	4.322	1
671.0443	1.249807692	4.3221	1
672.0444	1.249769231	4.3221	1
673.0444	1.249807692	4.3224	1
674.0445	1.249807692	4.3224	1
675.0446	1.249846154	4.3225	1
676.0446	1.249807692	4.3226	1
677.0447	1.249846154	4.3228	1
678.0437	1.249846154	4.3229	1
679.0438	1.249807692	4.323	1
680.0438	1.249846154	4.3231	1
681.0439	1.249807692	4.3231	1
682.044	1.249846154	4.3233	1
683.044	1.249807692	4.3234	1
684.0441	1.249846154	4.3235	1
685.0441	1.249846154	4.3236	1
686.0442	1.249807692	4.3236	1
687.0442	1.249846154	4.3239	1
688.0443	1.249807692	4.3238	1
689.0444	1.249846154	4.3241	1
690.0444	1.249769231	4.324	1
691.0445	1.249807692	4.3243	1
692.0445	1.249807692	4.3244	1
693.0446	1.249807692	4.3245	1
694.0446	1.249846154	4.3246	1
695.0437	1.249807692	4.3247	1
696.0438	1.249846154	4.3248	1
697.0438	1.249807692	4.3248	1
698.0439	1.249846154	4.325	1
699.0439	1.249807692	4.3251	1
700.044	1.249807692	4.3252	1
701.044	1.249846154	4.3254	1
702.0441	1.249807692	4.3254	1
703.0442	1.249846154	4.3255	1
704.0442	1.249807692	4.3256	1
705.0443	1.249807692	4.3257	1
706.0443	1.249769231	4.3257	1
707.0444	1.249769231	4.3259	1
708.0444	1.249807692	4.326	1
709.0445	1.249769231	4.326	1
710.0446	1.249807692	4.3262	1
711.0446	1.249769231	4.3262	1
712.0447	1.249807692	4.3264	1
713.0437	1.249769231	4.3265	1
714.0438	1.249769231	4.3266	1
715.0438	1.249807692	4.3267	1
716.0439	1.249769231	4.3268	1
717.044	1.249807692	4.3269	1
718.044	1.249769231	4.327	1
719.0441	1.249807692	4.3271	1
720.0441	1.249769231	4.3272	1
721.0442	1.249846154	4.3274	1
722.0442	1.249846154	4.3276	1
723.0443	1.249807692	4.3275	1
724.0444	1.249846154	4.3277	1
725.0444	1.249807692	4.3278	1
726.0445	1.249846154	4.328	1
727.0445	1.249807692	4.3279	1
728.0446	1.249807692	4.3281	1
729.0446	1.249846154	4.3283	1
730.0437	1.249807692	4.3283	1
731.0438	1.249846154	4.3285	1
732.0438	1.249807692	4.3285	1
733.0439	1.249846154	4.3287	1
734.0439	1.249807692	4.3288	1
735.044	1.249846154	4.3289	1
736.044	1.249846154	4.3291	1
737.0441	1.249846154	4.3292	1
738.0442	1.249846154	4.3294	1
739.0442	1.249846154	4.3294	1
740.0443	1.249846154	4.3295	1
741.0443	1.249846154	4.3296	1
742.0444	1.249884615	4.3298	1
743.0444	1.249884615	4.33	1
744.0445	1.249846154	4.3299	1
745.0446	1.249884615	4.3301	1
746.0446	1.249846154	4.3302	1
747.0447	1.249884615	4.3303	1
748.0437	1.249846154	4.3304	1
749.0438	1.249846154	4.3305	1
750.0438	1.249884615	4.3307	1
751.0439	1.249846154	4.3307	1
752.044	1.249884615	4.3309	1
753.044	1.249846154	4.331	1
754.0441	1.249846154	4.3312	1
755.0441	1.249846154	4.3312	1
756.0442	1.249846154	4.3313	1
757.0442	1.249846154	4.3316	1
758.0443	1.249846154	4.3316	1
759.0444	1.249846154	4.3318	1
760.0444	1.249846154	4.3318	1
761.0445	1.249846154	4.3319	1
762.0445	1.249846154	4.332	1
763.0446	1.249846154	4.3321	1
764.0446	1.249846154	4.3323	1
765.0437	1.249846154	4.3323	1
766.0438	1.249846154	4.3325	1
767.0438	1.249846154	4.3326	1
768.0439	1.249884615	4.3327	1
769.0439	1.249846154	4.3328	1
770.044	1.249884615	4.3329	1
771.044	1.249846154	4.333	1
772.0441	1.249846154	4.3331	1
773.0442	1.249884615	4.3332	1
774.0442	1.249846154	4.3334	1
775.0443	1.249884615	4.3335	1
776.0443	1.249846154	4.3335	1
777.0444	1.249884615	4.3337	1
778.0444	1.249846154	4.3338	1
779.0445	1.249846154	4.3338	1
780.0446	1.249884615	4.334	1
781.0446	1.249846154	4.3341	1
